term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,2018-01-05T09:47:51Z,70.55,SAJU_LITE_REFINED,v1.5.10+astro
立春,30,2018-02-03T21:25:58Z,70.60,SAJU_LITE_REFINED,v1.5.10+astro
驚蟄,60,2018-03-05T15:22:32Z,70.64,SAJU_LITE_REFINED,v1.5.10+astro
清明,90,2018-04-04T20:04:52Z,70.68,SAJU_LITE_REFINED,v1.5.10+astro
立夏,120,2018-05-05T13:16:28Z,70.73,SAJU_LITE_REFINED,v1.5.10+astro
芒種,150,2018-06-05T17:20:57Z,70.77,SAJU_LITE_REFINED,v1.5.10+astro
小暑,180,2018-07-07T03:34:40Z,70.82,SAJU_LITE_REFINED,v1.5.10+astro
立秋,210,2018-08-07T13:24:23Z,70.86,SAJU_LITE_REFINED,v1.5.10+astro
白露,240,2018-09-07T16:23:51Z,70.90,SAJU_LITE_REFINED,v1.5.10+astro
寒露,270,2018-10-08T08:08:49Z,70.95,SAJU_LITE_REFINED,v1.5.10+astro
立冬,300,2018-11-07T11:26:29Z,70.99,SAJU_LITE_REFINED,v1.5.10+astro
大雪,330,2018-12-07T04:22:48Z,71.04,SAJU_LITE_REFINED,v1.5.10+astro
