local_datetime,timezone,longitude_deg,latitude_deg,year_pillar,month_pillar,day_pillar,hour_pillar,month_term,delta_t_seconds,dataset_version,notes
1990-01-01T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丙子,丙寅,,大雪,,SL-DB-v10.4,"{""num"": ""32873"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-05"", ""lunar_yun"": ""0"", ""month_code"": ""L"", ""month_24"": ""0"", ""day_time"": ""252131"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-02T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丙子,丁卯,,大雪,,SL-DB-v10.4,"{""num"": ""32874"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-06"", ""lunar_yun"": ""0"", ""month_code"": ""L"", ""month_24"": ""0"", ""day_time"": ""262131"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-03T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丙子,戊辰,,大雪,,SL-DB-v10.4,"{""num"": ""32875"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-07"", ""lunar_yun"": ""0"", ""month_code"": ""L"", ""month_24"": ""0"", ""day_time"": ""272131"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-04T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丙子,己巳,,大雪,,SL-DB-v10.4,"{""num"": ""32876"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-08"", ""lunar_yun"": ""0"", ""month_code"": ""L"", ""month_24"": ""0"", ""day_time"": ""282131"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-05T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,庚午,,小寒,,SL-DB-v10.4,"{""num"": ""32877"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-09"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""2343"", ""div_hour"": ""23"", ""div_minute"": ""38""}"
1990-01-06T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,辛未,,小寒,,SL-DB-v10.4,"{""num"": ""32878"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-10"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""12343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-07T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,壬申,,小寒,,SL-DB-v10.4,"{""num"": ""32879"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-11"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""22343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-08T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,癸酉,,小寒,,SL-DB-v10.4,"{""num"": ""32880"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-12"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""32343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-09T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,甲戌,,小寒,,SL-DB-v10.4,"{""num"": ""32881"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-13"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""42343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-10T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,乙亥,,小寒,,SL-DB-v10.4,"{""num"": ""32882"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-14"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""52343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-11T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,丙子,,小寒,,SL-DB-v10.4,"{""num"": ""32883"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-15"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""62343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-12T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,丁丑,,小寒,,SL-DB-v10.4,"{""num"": ""32884"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-16"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""72343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-13T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,戊寅,,小寒,,SL-DB-v10.4,"{""num"": ""32885"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-17"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""82343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-14T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,己卯,,小寒,,SL-DB-v10.4,"{""num"": ""32886"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-18"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""92343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-15T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,庚辰,,小寒,,SL-DB-v10.4,"{""num"": ""32887"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-19"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""102343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-16T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,辛巳,,小寒,,SL-DB-v10.4,"{""num"": ""32888"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-20"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""112343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-17T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,壬午,,小寒,,SL-DB-v10.4,"{""num"": ""32889"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-21"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""122343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-18T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,癸未,,小寒,,SL-DB-v10.4,"{""num"": ""32890"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-22"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""132343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-19T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,甲申,,小寒,,SL-DB-v10.4,"{""num"": ""32891"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-23"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""142343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-20T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,乙酉,,小寒,,SL-DB-v10.4,"{""num"": ""32892"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-24"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""152343"", ""div_hour"": ""16"", ""div_minute"": ""58""}"
1990-01-21T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,丙戌,,小寒,,SL-DB-v10.4,"{""num"": ""32893"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-25"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""162343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-22T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,丁亥,,小寒,,SL-DB-v10.4,"{""num"": ""32894"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-26"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""172343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-23T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,戊子,,小寒,,SL-DB-v10.4,"{""num"": ""32895"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-27"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""182343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-24T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,己丑,,小寒,,SL-DB-v10.4,"{""num"": ""32896"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-28"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""192343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-25T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,庚寅,,小寒,,SL-DB-v10.4,"{""num"": ""32897"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-29"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""202343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-26T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,辛卯,,小寒,,SL-DB-v10.4,"{""num"": ""32898"", ""solar_yun"": ""0"", ""lunar_date"": ""1989-12-30"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""212343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-27T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,壬辰,,小寒,,SL-DB-v10.4,"{""num"": ""32899"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-01"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""222343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-28T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,癸巳,,小寒,,SL-DB-v10.4,"{""num"": ""32900"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-02"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""232343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-29T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,甲午,,小寒,,SL-DB-v10.4,"{""num"": ""32901"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-03"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""242343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-30T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,乙未,,小寒,,SL-DB-v10.4,"{""num"": ""32902"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-04"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""252343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-01-31T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,丙申,,小寒,,SL-DB-v10.4,"{""num"": ""32903"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-05"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""262343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-01T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,丁酉,,小寒,,SL-DB-v10.4,"{""num"": ""32904"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-06"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""272343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-02T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,戊戌,,小寒,,SL-DB-v10.4,"{""num"": ""32905"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-07"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""282343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-03T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丁丑,己亥,,小寒,,SL-DB-v10.4,"{""num"": ""32906"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-08"", ""lunar_yun"": ""0"", ""month_code"": ""A"", ""month_24"": ""1"", ""day_time"": ""292343"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-04T12:00:00,Asia/Seoul,126.9784,37.5665,己巳,丙寅,庚子,,立春,,SL-DB-v10.4,"{""num"": ""32907"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-09"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""1119"", ""div_hour"": ""11"", ""div_minute"": ""14""}"
1990-02-05T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,辛丑,,立春,,SL-DB-v10.4,"{""num"": ""32908"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-10"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""11119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-06T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,壬寅,,立春,,SL-DB-v10.4,"{""num"": ""32909"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-11"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""21119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-07T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,癸卯,,立春,,SL-DB-v10.4,"{""num"": ""32910"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-12"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""31119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-08T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,甲辰,,立春,,SL-DB-v10.4,"{""num"": ""32911"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-13"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""41119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
1990-02-09T12:00:00,Asia/Seoul,126.9784,37.5665,庚午,戊寅,乙巳,,立春,,SL-DB-v10.4,"{""num"": ""32912"", ""solar_yun"": ""0"", ""lunar_date"": ""1990-01-14"", ""lunar_yun"": ""0"", ""month_code"": ""B"", ""month_24"": ""2"", ""day_time"": ""51119"", ""div_hour"": ""0"", ""div_minute"": ""0""}"
