term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,1998-01-05T13:10:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立春,30,1998-02-04T00:46:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
驚蟄,60,1998-03-05T18:49:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
清明,90,1998-04-04T23:41:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立夏,120,1998-05-05T17:04:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
芒種,150,1998-06-05T21:17:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
小暑,180,1998-07-07T07:34:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立秋,210,1998-08-07T17:21:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
白露,240,1998-09-07T20:13:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
寒露,270,1998-10-08T11:49:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立冬,300,1998-11-07T14:56:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
大雪,330,1998-12-07T07:46:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
