term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,285.0,1940-01-06T11:12:38Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
大寒,300.0,1940-01-21T04:36:50Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
立春,315.0,1940-02-04T22:57:36Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
雨水,330.0,1940-02-19T18:58:22Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
驚蟄,345.0,1940-03-05T17:16:35Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
春分,0.0,1940-03-20T18:21:14Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
清明,15.0,1940-04-04T22:30:43Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
穀雨,30.0,1940-04-20T05:51:15Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
立夏,45.0,1940-05-05T16:15:59Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
小滿,60.0,1940-05-21T05:24:57Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
芒種,75.0,1940-06-05T20:46:11Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
夏至,90.0,1940-06-21T13:37:42Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
小暑,105.0,1940-07-07T07:10:33Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
大暑,120.0,1940-07-23T00:32:35Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
立秋,135.0,1940-08-07T16:52:30Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
處暑,150.0,1940-08-23T07:23:49Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
白露,165.0,1940-09-07T19:28:20Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
秋分,180.0,1940-09-23T04:38:52Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
寒露,195.0,1940-10-08T10:40:46Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
霜降,210.0,1940-10-23T13:32:37Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
立冬,225.0,1940-11-07T13:25:50Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
小雪,240.0,1940-11-22T10:43:23Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
大雪,255.0,1940-12-07T05:58:02Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
冬至,270.0,1940-12-21T23:50:00Z,0.0,ASTRONOMY_SOLVER,Meeus-approx
