term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,2033-01-05T11:02:27Z,0.0,POLY_EXTRAPOLATION,quadratic
立春,0,2033-02-03T22:34:45Z,0.0,POLY_EXTRAPOLATION,quadratic
驚蟄,0,2033-03-05T16:41:27Z,0.0,POLY_EXTRAPOLATION,quadratic
清明,0,2033-04-04T20:49:27Z,0.0,POLY_EXTRAPOLATION,quadratic
立夏,0,2033-05-05T14:56:16Z,0.0,POLY_EXTRAPOLATION,quadratic
芒種,0,2033-06-05T19:09:19Z,0.0,POLY_EXTRAPOLATION,quadratic
小暑,0,2033-07-07T01:32:32Z,0.0,POLY_EXTRAPOLATION,quadratic
立秋,0,2033-08-07T13:10:32Z,0.0,POLY_EXTRAPOLATION,quadratic
白露,0,2033-09-07T18:07:27Z,0.0,POLY_EXTRAPOLATION,quadratic
寒露,0,2033-10-08T09:40:48Z,0.0,POLY_EXTRAPOLATION,quadratic
立冬,0,2033-11-07T07:15:26Z,0.0,POLY_EXTRAPOLATION,quadratic
大雪,0,2033-12-07T06:41:10Z,0.0,POLY_EXTRAPOLATION,quadratic
