term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
清明,15,2002-04-04T23:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立夏,45,2002-05-05T16:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
芒種,75,2002-06-05T20:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小暑,90,2002-07-07T06:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立秋,120,2002-08-07T16:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
白露,150,2002-09-07T19:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
寒露,165,2002-10-08T11:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立冬,195,2002-11-07T14:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
大雪,225,2002-12-07T07:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
小寒,285,2002-01-05T12:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
立春,315,2002-02-04T00:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
驚蟄,345,2002-03-05T18:00:00Z,,SAJU_LITE_CANONICAL,v1.5.10
