term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,1984-01-06T03:42:50Z,129.92,SAJU_LITE_REFINED,v1.5.10+astro
立春,30,1984-02-04T15:23:35Z,130.04,SAJU_LITE_REFINED,v1.5.10+astro
驚蟄,60,1984-03-05T09:29:55Z,130.16,SAJU_LITE_REFINED,v1.5.10+astro
清明,90,1984-04-04T14:25:42Z,130.27,SAJU_LITE_REFINED,v1.5.10+astro
立夏,120,1984-05-05T07:52:04Z,130.39,SAJU_LITE_REFINED,v1.5.10+astro
芒種,150,1984-06-05T12:07:30Z,130.51,SAJU_LITE_REFINED,v1.5.10+astro
小暑,180,1984-07-06T22:25:42Z,130.63,SAJU_LITE_REFINED,v1.5.10+astro
立秋,210,1984-08-07T08:11:59Z,130.75,SAJU_LITE_REFINED,v1.5.10+astro
白露,240,1984-09-07T11:00:55Z,130.86,SAJU_LITE_REFINED,v1.5.10+astro
寒露,270,1984-10-08T02:31:30Z,130.98,SAJU_LITE_REFINED,v1.5.10+astro
立冬,300,1984-11-07T05:34:40Z,131.10,SAJU_LITE_REFINED,v1.5.10+astro
大雪,330,1984-12-06T22:20:10Z,131.22,SAJU_LITE_REFINED,v1.5.10+astro
