term,lambda_deg,utc_time,delta_t_seconds,source,algo_version
小寒,0,2011-01-05T16:47:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立春,30,2011-02-04T04:23:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
驚蟄,60,2011-03-05T22:26:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
清明,90,2011-04-05T03:18:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立夏,120,2011-05-05T20:41:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
芒種,150,2011-06-06T00:54:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
小暑,180,2011-07-07T11:11:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立秋,210,2011-08-07T20:58:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
白露,240,2011-09-07T23:50:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
寒露,270,2011-10-08T15:26:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
立冬,300,2011-11-07T18:33:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
大雪,330,2011-12-07T11:23:00Z,0.0,SKY_LIZARD_CANONICAL,SL-DB-v10.4
